True Strain,True Stress (MPa)
1.96838,1.3819956897182675
1.97155,1.3908213505860108
1.97471,1.3996749236698407
1.97786,1.4085562321009477
1.981,1.4174650962103434
1.98413,1.4264013335256704
1.98725,1.4353647587682812
1.99036,1.4443551838505708
1.99346,1.4533724178735792
1.99655,1.4624162671248582
1.99964,1.4715160749197094
