Engineering Strain,Engineering Stress (MPa)
13.68182,0.9821942868099494
13.70455,0.9855337711846237
13.72727,0.988878293363111
13.75,0.9922308000785338
13.77273,0.9955898233119843
13.79545,0.9989538835750909
13.81818,1.0023259447909016
13.84091,1.0057045303336498
13.86364,1.009089642800664
13.88636,1.0124797912067867
13.90909,1.015877962427979
13.93181,1.0192811690182642
13.95454,1.0226924093425336
13.97727,1.0261101895306395
14.0,1.0295345121620527
14.02273,1.0329653798132974
14.04545,1.0364012813366847
14.06818,1.0398452438631274
14.09091,1.0432957591202463
14.11364,1.046752829672862
14.13637,1.0502164580828888
14.15909,1.0536851187666065
14.18182,1.0571618676776946
14.20454,1.0606436481950274
14.22727,1.064133527815683
14.25,1.067629978057781
14.27273,1.071133001465974
14.29545,1.0746410550975207
14.31818,1.078157229565832
14.3409,1.0816784335423517
14.36363,1.085207769210842
14.38636,1.088743690723878
14.40909,1.0922862006091356
14.43182,1.0958353013914863
14.45455,1.0993909955930072
14.47727,1.10295171706273
14.5,1.1065206027541545
14.52273,1.1100960894131797
14.54545,1.1136766021679099
14.56819,1.1172668756751654
14.59091,1.1208605970941636
14.61363,1.1244609236913417
14.63636,1.1280694469776487
14.65909,1.131684586253984
14.68182,1.1353063440148883
14.70455,1.138934722752189
14.72727,1.1425681242892338
14.75,1.1462097495283794
14.77272,1.1498563967052908
14.79545,1.1535112783768473
14.81818,1.1571727934413114
14.84091,1.1608409443743848
14.86364,1.164515733649105
14.88636,1.168195542640448
14.90909,1.1718836130837207
14.93182,1.1755783292707578
14.95454,1.1792780637969429
14.97727,1.1829860759297628
15.0,1.1867007411847523
15.02273,1.190422062016502
15.04545,1.1941483992988058
15.06818,1.1978830357066255
15.09091,1.2016243350382811
15.11364,1.205372299737971
15.13636,1.2091252789407763
15.15909,1.2128865787637229
15.18182,1.2166545512707716
15.20454,1.2204275367821
15.22727,1.2242088590182403
15.25,1.2279968612315038
15.27273,1.2317915458481623
15.29546,1.2355929152919523
15.31818,1.2393992951694526
15.34091,1.243214038584976
15.36363,1.247033791380971
15.38636,1.2508619184286636
15.40909,1.2546967423822462
15.43182,1.2585382656503812
15.45455,1.2623864906392386
15.47727,1.2662397223127795
15.49999,1.2700996546111465
15.52272,1.2739679932701886
15.54545,1.2778430432477494
15.56818,1.2817248069376403
15.59091,1.2856132867312233
15.61364,1.2895084850174097
15.63636,1.293408686066119
15.65909,1.2973173255360853
15.68182,1.3012326906497218
15.70455,1.305154783786211
15.72727,1.309081877367177
15.75,1.3130174307146785
15.77272,1.3169579833270064
15.79545,1.320907006369159
15.81818,1.3248627692918644
15.84091,1.328825274459898
15.86364,1.3327945242356476
15.88636,1.336768770266621
15.90909,1.3407515133656112
15.93182,1.34474100814422
15.95454,1.348735497331468
15.97727,1.352738499552756
16.0,1.356748260504341
16.02272,1.3607630139875107
16.04545,1.3647862964589323
16.06818,1.3688163446902617
